day_number,date,is_weekend,is_holiday,daily_new_registrations,daily_active_users,daily_labeling_requests,daily_recipe_views,daily_orders_via_app,customer_feedback_score,sales_force_outreach_calls,sap_data_quality_score,market_consolidation_pressure_index,regulatory_update_mentions,app_revenue_share_pct,customer_retention_rate_30d,feature_request_count,traditional_order_volume,new_recipes_added
226,2019-02-11,FALSE,FALSE,85,1878,1789,3856,158,2.1,25,99.8,1.9,0,18.7,2.19,9,50,0
227,2019-02-12,FALSE,FALSE,88,1889,1801,3878,159,2.2,23,95.2,1.6,0,18.8,2.20,8,49,0
228,2019-02-13,FALSE,FALSE,81,1901,1812,3901,160,2.0,19,95.5,1.3,0,18.9,2.21,7,51,0
229,2019-02-14,FALSE,FALSE,75,1912,1823,3923,161,2.1,15,95.8,1.7,0,19.0,2.22,6,53,0
230,2019-02-15,FALSE,FALSE,69,1923,1834,3945,162,1.9,11,96.1,1.1,0,19.1,2.23,5,55,0
231,2019-02-16,TRUE,FALSE,39,1212,1212,2178,81,1.8,7,96.3,0.8,0,19.2,2.22,3,57,0
232,2019-02-17,TRUE,FALSE,33,1145,1145,2089,77,1.7,4,96.5,0.5,0,19.2,2.20,2,59,0
233,2019-02-18,FALSE,FALSE,89,1934,1845,3967,163,2.0,26,96.8,1.6,0,19.3,2.24,8,48,0
234,2019-02-19,FALSE,FALSE,92,1945,1856,3989,164,2.1,24,97.1,1.3,1,19.4,2.25,7,47,0
235,2019-02-20,FALSE,FALSE,85,1956,1867,4012,165,1.9,20,97.4,1.0,0,19.5,2.26,6,49,0
236,2019-02-21,FALSE,FALSE,79,1967,1878,4034,166,2.0,16,97.7,1.4,0,19.6,2.27,5,51,0
237,2019-02-22,FALSE,FALSE,73,1978,1889,4056,167,1.8,12,98.0,0.8,0,19.7,2.28,6,53,0
238,2019-02-23,TRUE,FALSE,41,1245,1245,2212,83,1.7,7,98.2,0.5,0,19.8,2.27,3,55,0
239,2019-02-24,TRUE,FALSE,35,1178,1178,2123,79,1.6,4,98.4,0.2,0,19.8,2.25,2,57,0
240,2019-02-25,FALSE,FALSE,94,1989,1901,4078,168,1.9,27,98.7,1.3,0,19.9,2.29,9,46,0
241,2019-02-26,FALSE,FALSE,97,2001,1912,4101,169,2.0,25,99.0,1.0,0,20.0,2.30,8,45,0
242,2019-02-27,FALSE,FALSE,90,2012,1923,4123,170,1.8,21,99.2,0.7,0,20.1,2.31,7,47,0
243,2019-02-28,FALSE,FALSE,84,2023,1934,4145,171,1.9,17,94.5,1.1,0,20.2,2.32,6,49,0
244,2019-03-01,FALSE,FALSE,78,2034,1945,4167,172,1.7,13,94.8,0.5,0,20.3,2.33,5,51,0
245,2019-03-02,TRUE,FALSE,44,1278,1278,2245,85,1.6,8,95.0,0.2,0,20.4,2.32,3,53,0
246,2019-03-03,TRUE,FALSE,38,1212,1212,2156,81,1.5,5,95.2,-0.1,0,20.4,2.30,2,55,0
247,2019-03-04,FALSE,FALSE,98,2045,1956,4189,173,1.8,28,95.5,1.0,0,20.5,2.34,9,44,0
248,2019-03-05,FALSE,FALSE,101,2056,1967,4212,174,1.9,26,95.8,0.7,0,20.6,2.35,8,43,0
249,2019-03-06,FALSE,FALSE,94,2067,1978,4234,175,1.7,22,96.1,0.4,0,20.7,2.36,7,45,0
250,2019-03-07,FALSE,FALSE,88,2078,1989,4256,176,1.8,18,96.4,0.8,0,20.8,2.37,6,47,0
251,2019-03-08,FALSE,FALSE,82,2089,2001,4278,177,1.6,14,96.7,0.2,0,20.9,2.38,7,49,0
252,2019-03-09,TRUE,FALSE,46,1312,1312,2289,87,1.5,9,96.9,-0.1,0,21.0,2.37,4,51,0
253,2019-03-10,TRUE,FALSE,40,1245,1245,2201,83,1.4,6,97.1,-0.4,0,21.0,2.35,3,53,0
254,2019-03-11,FALSE,FALSE,104,2101,2012,4301,178,1.7,29,97.4,0.7,0,21.1,2.39,10,42,0
255,2019-03-12,FALSE,FALSE,107,2112,2023,4323,179,1.8,27,97.7,0.4,0,21.2,2.40,9,41,0
256,2019-03-13,FALSE,FALSE,100,2123,2034,4345,180,1.6,23,98.0,0.1,0,21.3,2.41,8,43,0
257,2019-03-14,FALSE,FALSE,94,2134,2045,4367,181,1.7,19,98.2,0.5,0,21.4,2.42,7,45,0
258,2019-03-15,FALSE,FALSE,88,2145,2056,4389,182,1.5,15,98.4,-0.1,0,21.5,2.43,6,47,0
259,2019-03-16,TRUE,FALSE,49,1345,1345,2323,89,1.4,9,98.6,-0.4,0,21.6,2.42,3,49,0
260,2019-03-17,TRUE,FALSE,43,1278,1278,2234,85,1.3,6,98.8,-0.7,0,21.6,2.40,2,51,0
261,2019-03-18,FALSE,FALSE,109,2156,2067,4412,183,1.6,30,99.1,0.4,0,21.7,2.44,10,40,0
262,2019-03-19,FALSE,FALSE,112,2167,2078,4434,184,1.7,28,99.3,0.1,0,21.8,2.45,9,39,0
263,2019-03-20,FALSE,FALSE,105,2178,2089,4456,185,1.5,24,94.5,-0.2,0,21.9,2.46,8,41,0
264,2019-03-21,FALSE,FALSE,99,2189,2101,4478,186,1.6,20,94.8,0.2,0,22.0,2.47,7,43,0
265,2019-03-22,FALSE,FALSE,93,2201,2112,4501,187,1.4,16,95.1,-0.4,0,22.1,2.48,6,45,0
266,2019-03-23,TRUE,FALSE,52,1389,1389,2367,91,1.3,10,95.3,-0.7,0,22.2,2.47,3,47,0
267,2019-03-24,TRUE,FALSE,46,1323,1323,2278,87,1.2,7,95.5,-1.0,0,22.2,2.45,2,49,0
268,2019-03-25,FALSE,FALSE,114,2212,2123,4523,188,1.5,31,95.8,0.1,0,22.3,2.49,11,38,0
269,2019-03-26,FALSE,FALSE,117,2223,2134,4545,189,1.6,29,96.1,-0.2,0,22.4,2.50,10,37,0
270,2019-03-27,FALSE,FALSE,110,2234,2145,4567,190,1.4,25,96.4,-0.5,0,22.5,2.51,9,39,0
271,2019-03-28,FALSE,FALSE,104,2245,2156,4589,191,1.5,21,96.7,-0.1,0,22.6,2.52,8,41,0
272,2019-03-29,FALSE,FALSE,98,2256,2167,4612,192,1.3,17,97.0,-0.7,0,22.7,2.53,7,43,0
273,2019-03-30,TRUE,FALSE,55,1423,1423,2401,93,1.2,11,97.2,-1.0,0,22.8,2.52,4,45,0
274,2019-03-31,TRUE,FALSE,49,1356,1356,2312,89,1.1,8,97.4,-1.3,0,22.8,2.50,3,47,0
275,2019-04-01,FALSE,FALSE,120,2267,2178,4634,193,1.4,32,97.7,-0.2,0,22.9,2.54,12,36,0
276,2019-04-02,FALSE,FALSE,123,2278,2189,4656,194,1.5,30,98.0,-0.5,0,23.0,2.55,11,35,0
277,2019-04-03,FALSE,FALSE,116,2289,2201,4678,195,1.3,26,98.2,-0.8,0,23.1,2.56,10,37,0
278,2019-04-04,FALSE,FALSE,110,2301,2212,4701,196,1.4,22,98.4,-0.4,0,23.2,2.57,9,39,0
279,2019-04-05,FALSE,FALSE,104,2312,2223,4723,197,1.2,18,98.6,-1.0,0,23.3,2.58,8,41,0
280,2019-04-06,TRUE,FALSE,58,1456,1456,2434,95,1.1,12,98.8,-1.3,0,23.4,2.57,5,43,0
281,2019-04-07,TRUE,FALSE,52,1389,1389,2345,91,1.0,9,99.0,-1.6,0,23.4,2.55,4,45,0
282,2019-04-08,FALSE,FALSE,126,2323,2234,4745,198,1.3,33,99.2,-0.5,0,23.5,2.59,13,34,0
283,2019-04-09,FALSE,FALSE,129,2334,2245,4767,199,1.4,31,99.4,-0.8,0,23.6,2.60,12,33,0
284,2019-04-10,FALSE,FALSE,122,2345,2256,4789,200,1.2,27,94.8,-1.1,0,23.7,2.61,11,35,0
285,2019-04-11,FALSE,FALSE,116,2356,2267,4812,201,1.3,23,95.1,-0.7,0,23.8,2.62,10,37,0
286,2019-04-12,FALSE,FALSE,110,2367,2278,4834,202,1.1,19,95.4,-1.3,0,23.9,2.63,9,39,0
287,2019-04-13,TRUE,FALSE,61,1489,1489,2478,97,1.0,13,95.6,-1.6,0,24.0,2.62,6,41,0
288,2019-04-14,TRUE,FALSE,55,1423,1423,2389,93,0.9,10,95.8,-1.9,0,24.0,2.60,5,43,0
289,2019-04-15,FALSE,FALSE,132,2378,2289,4856,203,1.2,34,96.1,-0.8,0,24.1,2.64,14,32,0
290,2019-04-16,FALSE,FALSE,135,2389,2301,4878,204,1.3,32,96.4,-1.1,0,24.2,2.65,13,31,0
291,2019-04-17,FALSE,FALSE,128,2401,2312,4901,205,1.1,28,96.7,-1.4,0,24.3,2.66,12,33,0
292,2019-04-18,FALSE,FALSE,122,2412,2323,4923,206,1.2,24,97.0,-1.0,0,24.4,2.67,11,35,0
293,2019-04-19,FALSE,FALSE,116,2423,2334,4945,207,1.0,20,97.2,-1.6,0,24.5,2.68,10,37,0
294,2019-04-20,TRUE,FALSE,64,1523,1523,2512,99,0.9,14,97.4,-1.9,0,24.6,2.67,7,39,0
295,2019-04-21,TRUE,FALSE,58,1456,1456,2423,95,0.8,11,97.6,-2.2,0,24.6,2.65,6,41,0
296,2019-04-22,FALSE,FALSE,138,2434,2345,4967,208,1.1,35,97.9,-1.1,0,24.7,2.69,15,30,0
297,2019-04-23,FALSE,FALSE,141,2445,2356,4989,209,1.2,33,98.1,-1.4,0,24.8,2.70,14,29,0
298,2019-04-24,FALSE,FALSE,134,2456,2367,5012,210,1.0,29,98.4,-1.7,0,24.9,2.71,13,31,0
299,2019-04-25,FALSE,FALSE,128,2467,2378,5034,211,1.1,25,98.7,-1.3,0,25.0,2.72,12,33,0
300,2019-04-26,FALSE,FALSE,122,2478,2389,5056,212,0.9,21,98.9,-1.9,0,25.1,2.73,11,35,0
